Website?,Behavioral Problem,BUILDING BLOCK,Substep,Environmental Tag,Environmental Sub-Tag,World Region,Title,Author,News Source,Date,Summary,URL,Notes,,,,,,,,,,,,
Yes,Solution,Hopeful,Hopeful - Feedback,Consumption - Energy,,Canada and the US,Advanced Metering Initiatives and Residential Feedback Programs: A Meta-Review for Household Electricity-Saving Opportunities,"Karen Ehrhardt-Martinez, Kat A. Donnelly and John A. Laitner",American Council for an Energy-Efficient Economy,26-Jun-10,,http://aceee.org/research-report/e105,"quote: ""Feedback gadgets alone are unlikely to maximize household energy savings... Incorporating the best motivational techniques and behavioral approaches will be important to realize optimal savings. Such approaches include the use of: commitments, goal setting, social comparisons, normative messaging, and engaging participants in small, actionable steps.""",,,,,,,,,,,,
Yes,Solution,Hopeful,Hopeful - Feedback,Consumption - Energy,,Canada and the US,Energy-Saving Company Set for Public Offering,Diane Cardwell,The New York Times,3-Apr-13,opower summary; prompts,http://www.nytimes.com/2014/04/04/business/energy-environment/energy-saving-company-set-for-public-offering.html,,,,,,,,,,,,,
Yes,Solution,Relatable ,,Consumption - Energy,,Canada and the US,Energy Conservation Lesson: Saving Lives Motivates People to Use Less Electricity,Susan Scutti,Medical Daily,12-Jan-15,Behavior; Values and behavior change,http://www.medicaldaily.com/energy-conservation-lesson-saving-lives-motivates-people-use-less-electricity-317442,Included embedded video,,,,,,,,,,,,
Yes,Solution,Vivid,,Consumption - Energy,,"Canada and the US, Europe",Nudgespotting: Behavioral Light Switches,Jamie Kimmel,Misbehaving Blog,27-Jul-15,,http://www.misbehavingbook.org/blog/2015/7/27/nudgespotting-behaviorally-informed-light-switches,,,,,,,,,,,,,
Yes,Solution,"Benefits, Vivid",,"Consumption - Energy, Consumption - Freshwater",,Canada and the US,"For energy (and water) conservation, moral suasion is no substitute for getting the prices right",Meredith Fowlie,Energy Institute at Haas,6-Apr-15,Decision Science; price signals an important part of behavior programs; availability heuristic,https://energyathaas.wordpress.com/2015/04/06/for-energy-and-water-conservation-moral-suasion-is-no-substitute-for-getting-the-prices-right/?utm_campaign=blog%20re%2042&utm_content=13753048&utm_medium=social&utm_source=twitter,,,,,,,,,,,,,
Yes,Solution,Ordinary ,Ordinary - Provide positive social proof,"Consumption - Energy, Consumption - Freshwater, Transportation - General",,"Canada and the US, Europe",Social norm strategies do work � but there are risks involved,Adam Corner,The Guardian,16-Dec-11,"Social norms, a powerful tool but sometimes its not enough on its own; When using norms is good and when it is bad; Applicable to all pro-environmental behavior strategy; Cognitive bias",http://www.theguardian.com/sustainable-business/social-norm-behaviour-change,,,,,,,,,,,,,
Yes,Solution,"Benefits, Relatable",,Consumption - Freshwater,,Canada and the US,Responding to drought: Options for demand-side management,Maven,Maven's Notebook,18-Mar-15,policy,http://mavensnotebook.com/2015/03/18/responding-to-drought-options-for-demand-side-management-or-which-water-conservation-programs-actually-work/,drought blog,,,,,,,,,,,,
Yes,Problem,General,,Consumption - Freshwater,,Canada and the US,Blame Cognitive Biases When Efforts to Conserve Water Aren't Effective,Shankar Vedantam,NPR,5-May-15,"When it comes to saving water, we may shy away from solutions that involve high upfront costs--even if they prove beneficial in the long run. Government programs can help us overcome this cognitive bias by subsidizing the cost of water-efficient appliances.",http://www.npr.org/2015/05/05/404352534/blame-cognitive-biases-when-efforts-to-conserve-water-aren-t-effective,drought blog,,,,,,,,,,,,
Yes,Solution,Easy,,Consumption - Freshwater,,Canada and the US,Your shower is wasting huge amounts of energy and water. Here's what you can do about it,Chris Mooney,The Washington Post,4-Mar-15,"Showering is responsible for 17% use of residential water use, and much of that water may be going directly down the drain. Waiting for shower water to heat up is one of many examples of ""behavioral waste,"" waste that occurs because of easily correctable human habits.",http://www.washingtonpost.com/news/energy-environment/wp/2015/03/04/your-shower-is-wasting-huge-amounts-of-energy-and-water-heres-what-to-do-about-it/?postshare=9701427114030794,drought blog,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Comparison,Consumption - Freshwater,,Canada and the US,Every Flush You Take,Andrew Leonard,Backchannel,20-Jan-15,Behavior; Social norms and water use,https://medium.com/backchannel/conserving-water-with-software-and-shame-3a846c01b811,,,,,,,,,,,,,
Yes,Solution,Relatable,,Consumption - Freshwater,,Canada and the US,Can Empathy Lead to Better Decisions in Water Usage?,Liz Marquez,Arizona State University,28-Aug-15,study testing how empathy can be used to drough water debates ,https://sustainability.asu.edu/dcdc/2015/08/28/can-empathy-lead-to-better-decisions-in-water-usage/,,,,,,,,,,,,,
Yes,Solution,Vivid,,"Consumption - Overconsumption, Population - Population Control",,"Central and South America, Asia, Canada and the US, Europe","overpopulation, overconsumption- in pictures",N/A,The Guardian,1-Apr-15,Pictures of overpopulation effects; communication,http://www.theguardian.com/global-development-professionals-network/gallery/2015/apr/01/over-population-over-consumption-in-pictures,pictures,,,,,,,,,,,,
Yes,Solution,"Easy, Vivid",,Consumption - Paper use,,Europe,"""No ads, please"" - A green nudge for reducing paper waste",Georg Liebig and Jens Rommel,iNudgeyou,9-Mar-15,"By attaching stickers that say ""no junk mail"" to mailboxes, people were able to reduce the amount of paper waste that they accumulated from junk mail.",http://inudgeyou.com/nudge-for-reducing-junk-ads/,paper project,,,,,,,,,,,,
Yes,Solution,Vivid,,"Consumption - Plastics, Wildlife - Hunting",,N/A,Chris Jordan photo series,Chris Jordan,Chris Jordan ,1-Jul-05,"salience; Overcoming perceptual barriers, standing out.",http://www.chrisjordan.com/gallery/rtn2/#bees,,,,,,,,,,,,,
Yes,Solution,"Hopeful, Ordinary","Hopeful - Feedback, Ordinary - Comparison",Consumption - Freshwater,,Canada and the US,How to get Californians to use less water - without forcing them to,Chris Mooney,The Washington Post,4-Apr-15,"As California governments and municipalities look for ways to conserve water, many are turning to behavior-based interventions. One of the most prevalent ideas is adopting dynamic pricing mechanisms that adjust water prices based on characteristics of individual homes. WaterSmart's social-norms inspired programs are also gaining attention.�",http://www.washingtonpost.com/news/energy-environment/wp/2015/04/04/how-to-get-californians-to-use-less-water-without-forcing-them-to/?postshare=7791428419899154,,,,,,,,,,,,,
Yes,Solution,Easy,,Energy - General,,Canada and the US,The Next Energy Revolution Will Be in Human Behavior,Chris Mooney,Standard Examiner,24-Jan-15,"You might not expect the American military to be at the forefront in environmental behavior research. But as Chris Mooney reports, the immense energy infrastructure of the Marines and Navy means that any improvement in energy-conscious behavior will have a big impact; Chris Mooney discusses how various branches of the US Military are harnessing simple behavioral interventions to save energy. Jim Caley, head of the Marine Corps' Expeditionary Energy Office, believes that tweaking the ways Marines drive their vehicles, power their outposts, and handle their equipment can result in significant reductions in energy use. Caley's office conducted an experiment in which military truck drivers were given gauges that allowed them to monitor the fuel efficiency of their vehicles--leading to increases in fuel efficiency of 40%. The Navy is also partnering with behavioral�science�experts in order to find ways to reduce its energy use.",http://www.standard.net/Business/2015/01/24/The-next-energy-revolution-won-t-be-in-wind-or-solar-but-in-human-behavior.html,look up wp version,,,,,,,,,,,,
Yes,Solution,"Associations, Awareness",,Energy - Electricity,Energy efficient appliances,Europe,New study finds a surprising placebo effect from �environmentally friendly� labeling,Chris Mooney,The Washington Post,23-Apr-15,"Study using students to test their accuracy in arranging color caps in a gradual color transistion under two types of lights, one being ""environmentally friendly"" and the other conventional.  Accuracy was greater for students when using the ""environmentally friendly"" light.",https://www.washingtonpost.com/news/energy-environment/wp/2015/04/23/this-is-how-green-product-labels-affect-your-brain/?postshare=3861429878728924,,,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Energy - Electricity,Energy efficient appliances,Canada and the US,US Phase Out of Incandescent Light Bulbs Continues in 2014 with  40- and 60-Watt Varieties,Patrick J. Kiger,National Geographic,31-Dec-13,"The government has banned the manufacture of traditional lightbulbs in the US on the grounds that they don't meet energy efficiency standards, to be replaced by LEDs and CFLs",http://energyblog.nationalgeographic.com/2013/12/31/u-s-phase-out-of-incandescent-light-bulbs-continues-in-2014-with-40-60-watt-varieties/,"doesn't actually mention behavior design but it definitely has implications by making the ""default"" energy efficient bulbs",,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Energy - General,,Canada and the US,"With Clean-Energy Default Rules, It's Easy Being Green",Cass R. Sunstein,Bloomberg Business,4-Apr-13,"Compared with mandates, green default rules have the important advantage of maintaining freedom of choice, and they have the potential to protect the environment, save money, increase energy independence, and reduce waste",http://www.bloomberg.com/bw/articles/2013-04-04/with-clean-energy-default-rules-its-easy-being-green,,,,,,,,,,,,,
Yes,Solution,Easy,,Energy - General,,"Canada and the US, Europe",The power of behavioural design: looking beyond nudging,Christoph Burmester,The Guardian,10-Sep-13,behavior,http://www.theguardian.com/sustainable-business/power-behavioural-design-beyond-nudging,,,,,,,,,,,,,
Yes,Solution,"Easy, Vivid",,Energy - General,,Canada and the US,"With Post-Its and Checklists, Schools Cut Their Energy Bills",Winnie Hu,The New York Times,14-Aug-11,NY schools using nudges to save on energy,http://www.nytimes.com/2011/08/15/education/15energy.html?src=me&ref=general,,,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Energy - Renewables,Green energy,Europe,Green Energy is More Popular if it's the Default,Bjorn Carey-Stanford,Futurity,18-Jun-15,"Convinving people to buy into green, renewable energy plans could be as simple as making it their default option",http://www.futurity.org/renewable-energy-plans-944122/,,,,,,,,,,,,,
Yes,Solution,Associations,,"Energy - Renewables, Pollution - Air",Solar,Canada and the US,3 Lessons from Testing Images and Appeals for Online Action in 2014,Jeff Cappella,Resource Media,17-Dec-14,Using evocative images to inspire action; Associations and Communication,http://www.resource-media.org/3-lessons-from-testing-images-and-appeals-for-online-action-in-2014/,,,,,,,,,,,,,
Yes,Solution,"Associations, Awareness, Ordinary",,Food - Animal Product Consumption,Food choice,"Canada and the US, Europe","DON�T EAT BUGS TO SAVE THE WORLD, BUT BECAUSE THEY�RE TASTY",�Jason G. Goldman,University of Washington Conservation Magazine,29-May-15,Changing how people think about insects to shift attitude about them. Overpopulation and consumption --> less biodiversity --> eat more insects cus theyre tasty; Associations,http://conservationmagazine.org/2015/05/dont-eat-bugs-to-save-the-world-but-because-theyre-tasty/,,,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Food - Waste,,Europe,"Smaller Plates, Less Waste",newsinenglish.no staff,NewsInEnglish.no,20-Nov-12,Providing smaller plates at a buffet resulted in 20% less food waste,http://www.newsinenglish.no/2012/11/20/smaller-plates-less-waste/,,,,,,,,,,,,,
Yes,Solution,Easy,,Freshwater - Consumption,,Central and South America,"Testing the Waters: Using Simple, Low-cost Nudges to Reduce Water Consumption",N/A,ideas42,20-Apr-15,Decision Science; Nudging,http://www.ideas42.org/blog/testing-waters-using-simple-low-cost-nudges-reduce-water-consumption/,drought blog,,,,,,,,,,,,
Yes,Solution,Associations,,Freshwater - General,,Canada and the US,How to Successfully Engage Consumers Around Water Sustainability,Brynn W. McNally,Sustainable Brands,4-Jun-15,communications,http://www.sustainablebrands.com/news_and_views/marketing_comms/brynn_mcnally/how_successfully_engage_consumers_around_water_sustaina?utm_source=Twitter&utm_medium=schtweets&utm_campaign=social,,,,,,,,,,,,,
Yes,Solution,"Ordinary, Vivid","Ordinary - Make the encouraged behavior obvious, Provide positive social proof",Human Health - How people cook/eat,0,Canada and the US,Nudged to the produce isle by a look in the mirror,Michael Moss,The New York Times,27-Aug-13,Customers can be nudged to choose more healthful foods using various techniques to counter the eye-catching ads of the food industry,http://www.nytimes.com/2013/08/28/dining/wooing-us-down-the-produce-aisle.html,,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Model the desired behavior,Human Health - Go into nature,National parks,Canada and the US,Rewriting the Story of Arizona's petrified forest,Shaun McKinnon,The Arizona Republic,31-May-15,social norms,http://www.azcentral.com/story/news/local/best-reads/2015/05/31/rewriting-story-petrified-national-monument-forest/28143093/,,,,,,,,,,,,,
Yes,Solution,Vivid,,Human Health - Waste Management,Sanitation,Asia,World Bank Report Stresses Behavioural Aspects,Puja Mehra,The Hindu,14-Dec-14,Behavior; Behavioral interventions and development policy,http://www.thehindu.com/news/national/world-bank-report-stresses-behavioural-aspects/article6691378.ece,,,,,,,,,,,,,
Yes,Solution,Ordinary ,Ordinary - Comparison,Land Use - Development,Green landscaping,Canada and the US,Americans are judging their neighbors' lawns - with surprising environmental consequences,Chris Mooney,The Washington Post,11-Mar-15,"When we think about the big contributors to water contamination, usually the big industrial polluters come to mind. But Americans tend 37.5 million acres of residential lawns, and 40 to 60% of the nitrogen that we use to keep our lawns looking beautiful ends up in surface and groundwater, impacting water quality and threatening aquatic life. The root of the problem may the social pressure surrounding lawn maintenance; Two papers (1�2) discussing American lawn maintenance habits reveal that there can be a high social pressure to use fertilizer- and water-intensive lawn management techniques. On the flip side, people are also more likely to use less intensive strategies if they believe that that is what their neighbors are doing as well. Both studies highlight the role that lawn care plays in fostering cohesion among neighbors.",http://www.washingtonpost.com/news/energy-environment/wp/2015/03/11/forget-what-your-neighbors-think-stop-dousing-your-lawn-with-so-much-fertilizer/?postshare=5611426249758304,,,,,,,,,,,,,
Yes,Problem,Optimism bias,,Natural Disasters,,Canada and the US,Putting the Disaster in Natural Disasters: Why Many Choose to Live in Harm's Way,David Ropeik,The Huffington Post,18-Jul-13,optimism bias,http://www.huffingtonpost.com/david-ropeik/putting-the-disaster-in-natural-disasters_b_3617132.html,for optimism bias dose,,,,,,,,,,,,
Yes,N/A,"Associations, Relatable",,Non-environmental,,Canada and the US,The neuroscience of decision making explained in 30 seconds,Christian Jarrett,Wired,10-Mar-14,general decision science; decision making,http://www.wired.com/2014/03/neuroscience-decision-making-explained-30-seconds/,Recommended by Jay Knecht; an article about a book,,,,,,,,,,,,
Yes,Problem,General,,Non-environmental,,Canada and the US,What psychology's crisis means for the future of science,Brian Resnick,Vox Science and Health,25-Mar-16,The reliability and validity of Psychology comes into question as researchers discover that many believed behavioral experiments are in fact not entirely accurate and have been based off of incomplete and/or biased data.  The article then explores whether or not these findings will hurt or revamp the field of Psychology.,http://www.vox.com/2016/3/14/11219446/psychology-replication-crisis,,,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Non-environmental,,Canada and the US,Design for Default: How to Optimize Your Daily Decisions,James Clear,personal blog,N/A,Where items are placed on grocery store shelves (i.e. at eye level or on the ends) can have a huge impact on what gets purchased,http://jamesclear.com/design-default,,,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Non-environmental,,Canada and the US,Unnatural Selection,Barry Schwartz,New York Times,12-Apr-07,"""Paternalistic"" decision making",http://www.nytimes.com/2007/04/12/opinion/12schwartz.html?pagewanted=2&_r=0&ei=5124&en=5abe7f7de4d088be&ex=1334116800&partner=permalink&exprod=permalink,,,,,,,,,,,,,
Yes,Solution,"Associations, Easy, Ordinary",,Non-environmental,,N/A,The Power of Nudges: Insights on How to Influence Human Behavior,Steven Handel,The Emotion Machine,4-Sep-15,,http://www.theemotionmachine.com/the-power-of-nudges-insights-on-how-to-influence-human-behavior,,,,,,,,,,,,,
Yes,Solution,"Easy, Hopeful",Hopeful - Feedback,Non-environmental,,Canada and the US,Helping the Poor in Education: The Power of a Simple Nudge,Susan Dynarski,The New York Times,17-Jan-15,Behavior; Nudges and education,http://www.nytimes.com/2015/01/18/upshot/helping-the-poor-in-higher-education-the-power-of-a-simple-nudge.html?smid=fb-nytimes&smtyp=cur&bicmp=AD&bicmlukp=WT.mc_id&bicmst=1409232722000&bicmet=1419773522000&abt=0002&abg=0,not environmental,,,,,,,,,,,,
Yes,Solution,"Easy, Ordinary",Ordinary - Provide positive social proof,Non-environmental,,Canada and the US,7 Principles for Changing Behavior from Daniel Pink,Debbie Miller,Search Engine Journal,14-Mar-15,Decision Science; tips for getting people to change their behavior,http://www.searchenginejournal.com/7-principles-changing-behavior-danielpink-sxswi-2015-recap/128239/,,,,,,,,,,,,,
Yes,Problem,General,,Non-environmental,,"Central and South America, Asia, Canada and the US",Why Can't More People Escape Poverty?,Jamie Holmes,New Republic,5-Jun-11,willpower depletion,http://www.newrepublic.com/article/environment-energy/89377/poverty-escape-psychology-self-control,,,,,,,,,,,,,
Yes,Problem,Identity,,Non-environmental,,Canada and the US,Our Brains are Wired For Hypocrisy,Sharon Begley,Newsweek,19-Oct-09,Article on 2009 MRI cognitive dissonance experiment,http://www.newsweek.com/our-brains-are-wired-hypocrisy-begley-80941,,,,,,,,,,,,,
Yes,Solution,Identity,,Non-environmental,,Canada and the US,Preach what you plan to practice,Shankar Vendatam,The Washington Post,6-Jan-09,Feature article on Aronson's studies,http://www.washingtonpost.com/wp-dyn/content/article/2009/01/05/AR2009010501863.html,,,,,,,,,,,,,
Yes,Solution,Identity,,Non-environmental,,Canada and the US,"When in doubt, shout - why shaking someone's beliefs turns them into stronger advocates",Ed Yong,Discover,19-Oct-10,"More in depth explication of experiment on animal testing, food choices, and the merits of apple products mentioned directly below",http://blogs.discovermagazine.com/notrocketscience/2010/10/19/when-in-doubt-shout-%E2%80%93-why-shaking-someone%E2%80%99s-beliefs-turns-them-into-stronger-advocates/#.VXm7rPlVhBc,,,,,,,,,,,,,
Yes,Solution,Lasting,,Non-environmental,,Canada and the US,How Companies Learn Your Secrets,"Duhigg, C.",The New York Times,16-Feb-12,"cognitive bias; consumer choice, how target uses life transition to spur habit change ",http://www.nytimes.com/2012/02/19/magazine/shopping-habits.html?pagewanted=all&_r=0,Recommended by Jason Bade,,,,,,,,,,,,
Yes,Problem,"Loss Aversion, Status Quo Bias",,Non-environmental,,Asia,The Economics of Tidying Up,Bourree Lam,The Atlantic,13-May-15,Decision Science; mindfulness,http://www.theatlantic.com/business/archive/2015/05/an-economist-reads-marie-kondo/392921/,,,,,,,,,,,,,
Yes,Problem,Projection Bias,,Non-environmental,,Canada and the US,Buyer Beware of Cold Snaps,Cass R. Sunstein,Bloomberg View,13-Oct-14,Buyers Beware of Cold Snap-- article on projection bias ,http://www.bloombergview.com/articles/2014-10-13/buyer-beware-of-cold-snaps,,,,,,,,,,,,,
Yes,Solution,"Awareness, Benefits",,Oceans - Fishing,Overfishing,Canada and the US,How the Famous Marshmallow Study Explains Environmental Conservation,Svati Kirsten Narula,The Atlantic,6-Mar-14,"cognitive bias; discounting; present bias, fisheries management",http://www.theatlantic.com/business/archive/2014/03/how-the-famous-marshmallow-study-explains-environmental-conservation/284190/,Recommended by Rod; features Ayana Johnson (Marine Biologist/ED of Programs and Stategy at the Waitt Institute),,,,,,,,,,,,
Yes,Solution,Benefits,,Oceans - Fishing,Overfishing,Central and South America,Can Behavioral Economics Save Coral Reefs and Fisheries?,Ayana Elizabeth Johnson,National Geographic,10-Mar-14,Can Behavioral Economics Help Save Coral Reefs: Overview of how behavior based incentives can be used to encourage sustainability ,http://voices.nationalgeographic.com/2014/03/10/can-behavioral-economics-save-reefs/,,,,,,,,,,,,,
Yes,Solution,Vivid,,Oceans - General,,Canada and the US,10 Images Show What Coastal Cities Will Look Like After Sea Levels Rise,Taylor Hill,takepart,15-Jul-15,salience; Imagery that shows side-by-side comparisons showing sea level rise in major cities or famous locations.,http://www.takepart.com/article/2015/07/15/what-sea-level-rise-looks-america-coast?cmpid=organic-share-twitter,,,,,,,,,,,,,
Yes,Solution,"Relatable, Vivid",,Pollution - Air,,Asia,Chinese company uses smoke art to warn of air pollution dangers,Vicky Wong,Hong Kong Free Press,29-Jun-15,communication,http://www.hongkongfp.com/2015/06/29/chinese-company-uses-smoke-art-to-warn-of-air-pollution-dangers/,,,,,,,,,,,,,
Yes,Solution,Vivid,,"Pollution - Air, Pollution - Plastics, Wildlife - Conservation",,N/A,"These 40 Brilliant Ads Are Shocking, But They'll Make You Think About Important Issues",Distractify Staff,Distractify,29-May-14,Communication,http://distractify.com/old-school/2014/05/29/powerful-social-advertisements-1197697406,How can we use such simple communcation to get our ideas across?,,,,,,,,,,,,
Yes,Solution,Ordinary ,Ordinary - Comparison,Transportation - General,,Canada and the US,An Underrated Approach to Cutting Car Commutes: Peer Pressure,Eric Jaffe,City Lab,27-Apr-15,Decision Science; social norms,http://www.citylab.com/commute/2015/04/an-underrated-approach-to-cutting-car-commutes-peer-pressure/391514/?utm_source=SFTwitter,,,,,,,,,,,,,
Yes,Solution,"Associations, Benefits, Easy",,Transportation - Sustainable,Fuel efficient vehicles,Canada and the US,Helping Consumers See the Green Behind Fuel Economy,N/A,State of the Planet,11-Mar-14,Overview of how Associations and labelling techniques can influence purchase of cars ,http://blogs.ei.columbia.edu/2014/03/11/using-fuel-economy-labels-to-help-consumers-save-money-and-the-environment/,,,,,,,,,,,,,
Yes,Solution,Easy,,Waste Management - General,,Canada and the US,These Disappearing Packages Are Just Freakin' Cool,Adam Albright-Hanna,Good,9-Jan-15,,http://magazine.good.is/articles/packaging-reimagined?utm_source=Facebook&utm_medium=Source&utm_campaign=goodfb,,,,,,,,,,,,,
Yes,Solution,Benefits,,Waste Management - Recycling,,Asia,Paying With Plastic: Recycling Earns Public Transit Fares in China,Chad Lutz,EcoWatch,5-Aug-13,Paying With Plastic: Recycling Earns Public Transit Fares in China http://ecowatch.com/2013/08/05/plastic-recycling-transit-fares-china/,http://ecowatch.com/2013/08/05/plastic-recycling-transit-fares-china/,,,,,,,,,,,,,
Yes,Solution,Benefits,,Waste Management - Composting,,Canada and the US,Seattle to Shame Residents for Throwing Away Food,Sara Bernard,grist,27-Jan-15,"This summer, Seattle plans to begin fining residents for putting compostable food in the trash can. Until this policy is implemented in July, the punishment for throwing away food will be public shaming: ""Those who refuse to separate their garbage will find their bins tagged with a red sign for all to see. The hope is that the tags will help serve as both a warning as well as an incentive to make composting a habit.""",http://grist.org/news/seattle-to-shame-residents-for-throwing-away-food/,,,,,,,,,,,,,
Yes,Solution,"Easy, Vivid",,Waste Management - Littering,,Europe,"The green footprints reach Ashfield, England",Simon Snoghoj,iNudgeyou,14-Jul-14,,http://inudgeyou.com/green-footprints-ashfield/,,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Make sure the context reflects the norm,Waste Management - Littering,,Canada and the US,Littering and Following the Crowd,Vivian Wagner,The Atlantic,1-Aug-14,social norms,http://www.theatlantic.com/health/archive/2014/08/littering-and-following-the-crowd/374913/,,,,,,,,,,,,,
Yes,Solution,Vivid,,Waste Management - Littering,,Asia,Are you a litter bug? How that can change with an extra set of eyes,Kathy Adam,One Green Planet,5-Jan-15,"Would you recycle more if you knew someone was watching you? Several real-life examples show that people are more likely to engage in positive social and environmental behavior if they are ""watched"" by posters that feature pairs of eyes.",http://www.onegreenplanet.org/environment/are-you-a-litter-bug-how-that-can-change-with-an-extra-set-of-eyes/,,,,,,,,,,,,,
Yes,Solution,Vivid,,Waste Management - Littering,,Europe,Lucerne's Clever Street Decals Make Taking Out the Trash Fun,Diane Pham,Inhabitat,24-Jun-11,Lucerne's Clever Street Decals Make Taking Out the Trash Fun,http://inhabitat.com/the-city-of-lucerne-turns-taking-out-the-trash-into-a-fun-game/,,,,,,,,,,,,,
Yes,Solution,Vivid,,Waste Management - Littering,,Europe,This simple and bizarre design dramatically reduces littering,Melissa Breyer ,Treehugger,2-Dec-15,"Two leaflets: one with stern eyes and one without. Leaflets without stern eyes more likely to be littered than those with, suggesting the influence of social norms on littering behavior. ",http://www.treehugger.com/sustainable-product-design/simple-and-bizarre-thing-dramatically-reduces-littering.html,,,,,,,,,,,,,
Yes,Solution,"Benefits, Vivid",,Waste Management - Recycling,,Europe,This Genius Machine Feeds Stray Dogs in Exchange for Recycled Bottles,Kimberly Yam,The Huffington Post,23-Jul-14,"make it easy; overcoming barriers, habits",http://www.huffingtonpost.com/2014/07/23/pugedon-vending-machine_n_5606494.html,,,,,,,,,,,,,
Yes,Problem,General,,Waste Management - Recycling,,Canada and the US0,How Recycling Bias Affects What You Toss Where,NPR Staff,NPR,27-Sep-13,Unconcious rule of thumb - we end up tossing shredded pieces of paper and distorted cans into trash rather than recycling.,http://www.npr.org/2013/09/27/226580668/how-recycling-bias-affects-what-you-toss-where,"Could be ""Vivid""",,,,,,,,,,,,
Yes,Solution,Hopeful,Hopeful - Feedback,Whole System - Carbon Footprint,,Canada and the US,�My Earth� energy-tracking app encourages sustainable behaviors,Maija Inveiss and Jill Sakai,University of Wisconsin-Madison News,20-Apr-15,"An app that helps you track your carbon savings, and prompts you with both small and more complicated daily tasks that can help reduce your carbon emissions and energy consumption. The app provides feedback by helping you keep track of the small things you do, and making your savings more concrete and tangible.",http://www.news.wisc.edu/23688,,,,,,,,,,,,,
Yes,Solution,Hopeful,Hopeful - Feedback,Whole System - Carbon Footprint,,Canada and the US,Games Help Save Energy,Manon Verchot,Scientific American,18-Feb-15,Several new apps are helping people save energy by turning energy efficiency into a game; Behavior,http://www.scientificamerican.com/article/games-help-save-energy/,,,,,,,,,,,,,
Yes,N/A,Associations,,Wildlife - Conservation,Species at risk,Canada and the US,"Polar Bear Flip-Flop: People Hated, Then Loved These Photos. What Changed?",Robert Krulwich,NPR,1-Mar-14,cognitive bias; confirmation bias,http://www.npr.org/blogs/krulwich/2014/03/01/283993033/polar-bear-flip-flop-people-hated-then-loved-these-photos-what-changed,Polar bear and dog playing,,,,,,,,,,,,
Yes,Solution,Benefits,,Wildlife - Conservation,,Canada and the US,"Tundi's Take: Marketing conservation: ocean-serving, or self-serving?",Tundi Agardy,Marine Ecosystems and Management (MEAM),1-Feb-16,"Tundi analyzes the effectiveness of ocean conservation organizations and whether or not they are using their funds to actually help prevent ocean decline, or if the majority of it is going to advertising.  She also goes into how most of the marketing is not towards the individual, but rather towards donors and supporters.; Marketing; Commentary about need for interventions in the environment",https://meam.openchannels.org/news/meam/tundi%E2%80%99s-take-marketing-conservation-ocean-serving-or-self-serving,Sea turtle preservation,,,,,,,,,,,,
Yes,Solution,"Easy, Ordinary",Ordinatry - Comparison,Consumption - Energy,,Europe,Can nudges help to cut household energy consumption?,Imran Rasul and David Hollywood,The Guardian,27-Jan-12,"Studies highlight that if partnered with the right information, social norm techniques can help change consumer behaviour; Nudging",http://www.theguardian.com/sustainable-business/behaviour-change-energy-consumption?newsfeed=true,SOCIAL NORMS,,,,,,,,,,,,
Yes,Solution,"Awareness, Ordinary, Relatable",Ordinary - Provide positive social proof,Climate - General Action,,Canada and the US,How to Make Narcissists Think Green is the New Black,Iman Naderi and David Strutton,frank,7-Aug-14,Nudging the people with narcissistic personality,http://frank.jou.ufl.edu/frankology/how-to-make-narcissists-think-green-is-the-new-black/,,,,,,,,,,,,,
Yes,Solution,"Ordinary, Vivid",Ordinary - Make sure the context reflects the norm,Waste Management - Littering,,Europe,Green nudge: Nudging litter into the bin,�Simon Maal�e Jespersen,iNudgeyou,16-Feb-12,"Green foorptrint leading to the trashcan reduces littering.; Availability, Nudge, Standing out",http://inudgeyou.com/green-nudge-nudging-litter-into-the-bin/,,,,,,,,,,,,,
Yes,N/A,"Awareness, Relatable",,Climate - Belief,,Canada and the US,Can your personality explain how you feel about the Keystone XL pipeline?,Chris Mooney,The Washington Post,27-Jan-15,"Behavior; personal values and responses to climate initiatives; According to a recent�study�in the journal Environment and Behavior, people who exhibit the personality trait ""Openness to Experience"" are more likely to care about the environment.. The study's authors believe that this may be because those who score high on ""Openness to Experience"" are more comfortable doing the long-term and abstract thinking needed to imagine long-term environmental consequences and are more likely to deviate from the status quo.",http://www.washingtonpost.com/news/energy-environment/wp/2015/01/27/can-your-personality-explain-how-you-feel-about-the-keystone-xl-pipeline/?postshare=3321422455709727,,,,,,,,,,,,,
Yes,Solution,"Awareness, Relatable",,Climate - Belief,,Europe,The surprising psychology behind why some people become environmentalists,Chris Mooney,The Washington Post,19-Mar-15,,http://www.washingtonpost.com/news/energy-environment/wp/2015/03/19/the-surprising-reason-why-some-people-become-environmentalists-and-others-dont/,,,,,,,,,,,,,
